name,region,lat,lon,tags
경기도자미술관,경기도,37.2755515693,127.4234166524,"관광,문화"
경기미래교육 양평캠퍼스,경기도,37.4987368948,127.5782878872,"관광,문화"
경기미래교육 파주캠퍼스,경기도,37.7852432234,126.6985404091,"관광,문화"
경기상상캠퍼스,경기도,37.2665807612,126.9811903187,"관광,문화"
경기전,전북특별자치도,35.8142143363,127.1500366062,"관광,문화"
경기창작센터,경기도,37.2271569225,126.6313815255,"관광,문화"
경기해양안전체험관,경기도,37.2905347955,126.5806788449,"관광,문화"
경남 하동 악양면 [슬로시티],경상남도,35.1623867315,127.7089347057,"관광,문화"
경남수학문화관 밀양수학체험센터,경상남도,35.4763508467,128.763119947,"관광,문화"
경남수학문화관 진주수학체험센터,경상남도,35.1654861268,128.1665028004,"관광,문화"
경반계곡,경기도,37.8330488418,127.4692186211,"관광,자연"
